country_name,country_code,year,year_fct,income_level,sdg_overall,spi_comp,sci_overall,di_score,di_reg_type_2,log_gdppc,log_pop,gini_score,regime_type_4,regime_type_10,elect_dem,lib_dem,part_dem,delib_dem,egal_dem,freefair,accountability,vt_account,hz_account,diag_account,academ_free,freexp_altinfo,population,p1_use,p2_services,p3_products,p4_sources,p5_infra,income_spi,region_spi,weights_spi,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,sci_method,sci_periodicity,sci_source,regime_type_2,elect_dem_ert,regch_event,regch_genuine,dem_ep,dem_ep_pre_yr,dem_ep_start_yr,dem_ep_end_yr,aut_ep,aut_ep_pre_yr,aut_ep_start_yr,aut_ep_end_yr,gdp_pc,income_level_lab
Burkina Faso,BFA,2004,2004,L,45.03902209821428,NA,67.77777778,NA,NA,6.00095149685433,16.382809153803187,NA,2,5,0.516,0.328,0.265,0.413,0.352,0.414,0.704,0.649,-0.252,1.109,0.8,0.79,13030576,30,NA,NA,NA,NA,Low income,Sub-Saharan Africa,1,14.856,53.986375,29.88114285714286,0,22.933,44.9102,16.00825,71.15442857142857,9.022714285714285,37.715,42.6795,96.06214285714286,99.266,NA,82.2378,56.348,43.5638,40,83.33333,80,1,0.513,0,0,0,0,NA,NA,0,0,NA,NA,403.8128374,Low Income Countries
Bangladesh,BGD,2004,2004,L,54.23855604150751,NA,70,NA,NA,6.121645996903106,18.735392420491632,NA,1,4,0.474,0.232,0.228,0.196,0.2,0.447,0.38,0.575,-0.442,0.556,0.463,0.74,136986429,20,NA,NA,NA,NA,Lower middle income,South Asia,1,35.512,55.89337500000001,40.12157142857143,49.46675,30.732,62.4922,29.36425,70.91,25.6605,77.69,35.22175,95.38057142857144,98.685,63.32466666666667,53.7956,49.37581818181818,48.4294,50,80,80,0,0.474,0,0,0,0,NA,NA,1,0,2002,2007,455.6140169,Low Income Countries
Bulgaria,BGR,2004,2004,LM,70.52449523809524,NA,86.66666667,NA,NA,8.128492993763714,15.85891810351024,NA,2,6,0.721,0.625,0.454,0.626,0.573,0.793,1.324,1.251,1.192,1.264,0.939,0.875,7716860,30,NA,NA,NA,NA,High income,Europe & Central Asia,1,95.903,67.3385,71.38764285714286,95.73225,63.11925000000001,67.081,60.29133333333334,71.67685714285714,31.99471428571428,72.2005,87.48066666666666,68.76957142857144,85.16333333333334,59.4972,66.6232,70.56,64.0974,90,90,80,1,0.714,0,0,0,0,NA,NA,0,0,NA,NA,3389.687434,Lower-Middle Income Countries
Bahrain,BHR,2004,2004,H,54.40188619047618,NA,NA,NA,NA,9.67808829152064,13.628995420389028,NA,0,0,0.213,0.085,0.109,0.135,0.15,0.35,-0.172,0.209,-1.239,0.157,0.203,0.464,829846,20,NA,NA,NA,NA,High income,Middle East & North Africa,1,NA,62.54257142857143,76.299,80.05425,33.77375,57.14960000000001,70.30924999999999,75.38383333333333,33.62242857142856,NA,51.88733333333334,51.81514285714286,18.497,57.0942,37.87266666666667,68.0156,41.71166666666667,NA,NA,NA,0,0.211,0,0,0,0,NA,NA,0,0,NA,NA,15963.94932,High Income Countries
Bosnia & Herzegovina,BIH,2004,2004,LM,69.24173929110104,NA,50,NA,NA,7.804939098038662,15.141044319273142,34,2,6,0.642,0.42,0.365,0.438,0.444,0.741,0.967,1.083,-0.023,1.128,0.718,0.749,3764194,40,NA,NA,NA,NA,Upper middle income,Europe & Central Asia,1,99.5115,64.92575000000001,71.33338461538462,67.49175,28.33175,77.0152,64.931,62.52114285714286,25.97357142857143,76.6575,80.36449999999999,77.55828571428572,89.90966666666667,83.33766666666666,62.28440000000001,71.8265,73.136,40,50,60,1,0.646,0,0,0,0,NA,NA,1,0,2004,2007,2452.686168,Lower-Middle Income Countries
Belarus,BLR,2004,2004,LM,74.5338571090368,NA,80,NA,NA,7.774156785039813,16.09073945918836,26.5,1,3,0.242,0.099,0.09,0.077,0.272,0.231,-0.683,-0.229,-1.606,-0.426,0.236,0.242,9730146,40,NA,NA,NA,NA,Upper middle income,Europe & Central Asia,1,91.4055,63.979375,71.73328571428571,94.49,63.24875,86.2678,65.361,59.89214285714285,32.20800000000001,99.5315,87.90700000000001,74.40485714285715,82.79466666666667,NA,85.36120000000001,65.38563636363637,68.571,80,80,80,0,0.241,0,0,0,0,NA,NA,0,0,NA,NA,2378.337005,Lower-Middle Income Countries
Bolivia,BOL,2004,2004,LM,58.94259710497837,NA,68.88888889,NA,NA,6.859816240362571,16.020377414110513,55,2,6,0.753,0.546,0.515,0.66,0.493,0.838,1.234,1.304,0.409,1.275,0.801,0.869,9069044,40,NA,NA,NA,NA,Lower middle income,Latin America & Caribbean,1,62.4735,52.7365,54.75707142857142,94.89866666666666,47.1655,60.773,57.8535,67.68271428571428,16.40557142857143,11.2675,54.0745,84.23885714285714,94.491,NA,66.57660000000001,52.80727272727274,64.8798,50,96.66667,60,1,0.753,0,0,0,0,NA,NA,0,0,NA,NA,953.1918932,Lower-Middle Income Countries
Brazil,BRA,2004,2004,LM,68.43330398523045,NA,83.33333333,NA,NA,8.206262468079418,19.030481526909856,56.5,2,7,0.853,0.724,0.607,0.779,0.61,0.912,1.601,1.49,1.096,1.623,0.916,0.917,184006479,40,NA,NA,NA,NA,Upper middle income,Latin America & Caribbean,1,67.60249999999999,70.30224999999999,73.61985714285713,82.17866666666667,65.36825,81.58600000000001,85.5815,76.112,41.42171428571429,9.155,84.44574999999999,82.61328571428571,94.99866666666668,59.447,59.4468,58.36572727272728,71.1212,90,80,80,1,0.856,0,0,0,0,NA,NA,0,0,NA,NA,3663.823188,Lower-Middle Income Countries
Bhutan,BTN,2004,2004,L,59.47848184523809,NA,NA,NA,NA,7.030290866463149,13.367360784140466,NA,0,0,0.1,0.165,0.133,0.204,0.194,0,-0.127,-1.141,0.139,0.245,0.367,0.477,638809,20,NA,NA,NA,NA,Lower middle income,South Asia,1,56.55549999999999,50.82266666666667,56.87557142857143,30.39075,45.82325,60.6922,47.67,72.69480000000001,17.03733333333333,48.252,87.542,84.9926666666667,93.237,NA,61.3556,84.05357142857144,53.66080000000001,NA,NA,NA,0,0.102,0,0,0,0,NA,NA,0,0,NA,NA,1130.359346,Low Income Countries
Botswana,BWA,2004,2004,UM,54.74305178571428,NA,72.22222222,NA,NA,8.508494038667202,14.383963185764678,NA,3,8,0.713,0.615,0.476,0.609,0.513,0.859,1.267,1.215,1.227,1.187,0.895,0.823,1765533,20,NA,NA,NA,NA,Upper middle income,Sub-Saharan Africa,1,28.6115,43.89725,37.47228571428571,59.70375,68.32675,60.2368,27.72375,62.66642857142857,22.31257142857143,0,73.09649999999999,86.36114285714287,88.765,NA,74.642,70.26590000000002,71.8072,50,86.66667,80,1,0.71,0,0,0,0,NA,NA,0,0,NA,NA,4956.692877,Upper-Middle Income Countries
Canada,CAN,2004,2004,H,75.65200421441305,NA,NA,NA,NA,10.37802903451149,17.279390207741873,33.8,3,9,0.83,0.758,0.58,0.755,0.717,0.93,1.526,1.357,1.498,1.429,0.939,0.936,31940655,40,NA,NA,NA,NA,High income,North America,1,99.3735,65.299,90.80364285714288,98.11533333333334,76.6935,84.20320000000001,79.794,79.19171428571428,78.23557142857143,81.12700000000001,96.94675,47.83571428571428,38.70500000000001,59.66299999999999,53.7948,89.39754545454545,66.9048,NA,NA,NA,1,0.83,0,0,0,0,NA,NA,0,0,NA,NA,32145.54126,High Income Countries
Switzerland,CHE,2004,2004,H,76.69952142857143,NA,NA,NA,NA,10.90887752803867,15.815587547387867,31.6,3,9,0.888,0.842,0.791,0.855,0.819,0.926,1.794,1.366,1.841,1.922,0.92,0.978,7389625,40,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.426,73.68100000000001,90.33133333333332,97.06466666666668,70.59575,85.26559999999999,79.0095,75.21416666666667,80.20614285714285,86.89699999999999,96.23225,31.98285714285714,63.79333333333333,NA,59.6754,83.83014285714286,53.98719999999999,NA,NA,NA,1,0.888,0,0,0,0,NA,NA,0,0,NA,NA,54659.45715,High Income Countries
Chile,CHL,2004,2004,UM,72.21968017570664,NA,91.11111111,NA,NA,8.719414024593869,16.589034592662955,NA,3,8,0.878,0.813,0.58,0.805,0.629,0.951,1.72,1.56,1.449,1.668,0.964,0.942,16014972,40,NA,NA,NA,NA,High income,Latin America & Caribbean,1,80.158,69.8875,81.85857142857142,92.68025,56.81675,89.3998,83.05175,72.80828571428572,38.56014285714285,16.197,92.67125,77.82228571428573,88.726,77.037,49.128,83.43672727272728,77.49525,80,93.33333,100,1,0.879,0,0,0,0,NA,NA,0,0,NA,NA,6120.591521,Upper-Middle Income Countries
China,CHN,2004,2004,LM,60.40542489765138,NA,64.44444444,NA,NA,7.318982365629316,20.98260630357244,NA,0,0,0.103,0.073,0.053,0.167,0.111,0,-0.685,-1.211,-0.442,-0.459,0.291,0.248,1296075000,40,NA,NA,NA,NA,Upper middle income,East Asia & Pacific,1,30.4045,73.70487499999999,66.2206923076923,99.6715,70.994,59.465,50.4995,79.11014285714285,42.32300000000001,29.5775,63.292,77.80357142857143,88.557,57.73016666666667,49.0158,52.042375,36.4806,50,73.33333,70,0,0.103,0,0,0,0,NA,NA,0,0,NA,NA,1508.667916,Lower-Middle Income Countries
Côte d’Ivoire,CIV,2004,2004,L,51.6626712885154,NA,80,NA,NA,7.089931196004469,16.704241692996664,NA,1,4,0.451,0.307,0.294,0.361,0.286,0.32,0.539,0.409,-0.007,0.938,0.654,0.75,17970493,30,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,1,34.443,51.55575,26.87228571428572,3.697,33.2655,51.96320000000001,37.9725,71.80514285714285,16.48671428571429,47.501,54.0205,95.52628571428572,97.59533333333331,77.7545,72.39200000000001,56.4423,48.97240000000001,70,90,80,0,0.446,0,0,0,0,NA,NA,0,0,NA,NA,1199.825245,Low Income Countries
Cameroon,CMR,2004,2004,L,49.96058781512606,NA,51.11111111,NA,NA,7.032971303184964,16.663862961272116,NA,1,3,0.318,0.162,0.168,0.159,0.201,0.089,0.068,0.047,-0.494,0.407,0.369,0.677,17259322,20,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,1,35.775,54.83425,22.52585714285715,37.0685,38.65125,52.39580000000001,35.702,60.89971428571429,14.38266666666667,42.749,46.22633333333334,96.21557142857144,97.59499999999998,68.42325,60.1236,38.686,47.07620000000001,40,83.33333,30,0,0.314,0,0,0,0,NA,NA,0,0,NA,NA,1133.393267,Low Income Countries
Congo (Kinshasa),COD,2004,2004,L,45.84977296918768,NA,32.22222222,NA,NA,5.196643186885881,17.787101043101575,41.6,0,0,0.191,0.1,0.113,0.122,0.14,0,-0.037,-0.774,-0.394,0.222,0.334,0.598,53068869,20,NA,NA,NA,NA,Low income,Sub-Saharan Africa,1,0,46.8585,22.62257142857143,32.02833333333334,34.34475,42.608,33.34275,65.12785714285714,9.71042857142857,42.515,36.2605,97.66333333333334,99.68866666666668,77.6485,65.97139999999999,34.2093,38.84625,40,46.66667,10,0,0.188,0,0,1,0,1998,2007,0,0,NA,NA,180.664765,Low Income Countries
Congo - Brazzaville,COG,2004,2004,L,45.99299297385622,NA,42.22222222,NA,NA,7.174801920147742,15.071259919887282,NA,1,3,0.255,0.094,0.14,0.166,0.1,0.114,-0.325,0.038,-0.715,-0.358,0.471,0.357,3510468,20,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,1,16.916,48.60912500000001,29.23957142857143,22.4105,40.42975,46.2436,9.01725,52.048,3.181428571428572,22.1125,52.22400000000001,95.00633333333332,93.28366666666666,68.5292,73.8358,53.03255555555555,55.7616,40,56.66667,30,0,0.257,0,0,0,0,NA,NA,0,0,NA,NA,1306.101363,Low Income Countries
Colombia,COL,2004,2004,LM,63.34096627196333,NA,86.66666667,NA,NA,7.943985636377954,17.554986947814346,55,2,5,0.54,0.426,0.37,0.32,0.309,0.531,0.905,0.951,1.044,0.612,0.598,0.712,42075953,40,NA,NA,NA,NA,Upper middle income,Latin America & Caribbean,1,59.0595,64.4645,73.14664285714287,85.74325,61.0125,74.90899999999999,73.3,65.89128571428571,23.685,11.2675,80.9025,88.24385714285714,92.351,49.927,53.8886,51.9050909090909,67.0992,90,90,80,1,0.546,0,0,0,0,NA,NA,0,0,NA,NA,2818.571954,Lower-Middle Income Countries
Cape Verde,CPV,2004,2004,LM,58.74015339366515,NA,NA,NA,NA,7.565011420665747,13.031604624126228,NA,2,7,0.766,0.682,0.46,0.647,0.61,0.816,1.341,1.19,1.4,1.28,0.863,0.88,456619,20,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,1,52.4845,39.5514,65.06230769230771,72.58850000000001,54.8295,54.75325,48.15525,48.352,17.536,14.7885,84.501,82.227,97.8025,52.4716,58.11666666666667,83.96083333333333,71.40180000000001,NA,NA,NA,1,0.769,0,0,0,0,NA,NA,0,0,NA,NA,1929.490815,Lower-Middle Income Countries
Costa Rica,CRI,2004,2004,UM,68.19099381843647,NA,82.22222222,NA,NA,8.396383216422802,15.256566741168694,48.4,3,9,0.897,0.846,0.651,0.846,0.802,0.941,1.88,1.57,1.594,1.95,0.922,0.962,4225156,40,NA,NA,NA,NA,Upper middle income,Latin America & Caribbean,1,86.7935,56.523875,82.5462857142857,81.2985,70.5615,68.15299999999999,81.82374999999999,72.06171428571429,28.53628571428572,20.5635,80.27375,80.9962857142857,92.661,53.31316666666667,62.5742,77.26418181818183,63.3024,80,96.66667,70,1,0.894,0,0,0,0,NA,NA,0,0,NA,NA,4431.011721,Upper-Middle Income Countries
Cyprus,CYP,2004,2004,H,66.75582471988795,NA,NA,NA,NA,10.077130691394297,13.82586674703991,30.1,3,9,0.823,0.708,0.571,0.733,0.699,0.894,1.403,1.321,0.854,1.435,0.882,0.916,1010410,20,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.9195,59.048875,83.35457142857142,97.337,56.86933333333334,65.73339999999999,67.28825,68.61385714285714,50.33142857142858,89.6195,95.115,30.64257142857143,58.108,46.75633333333334,52.7204,72.38640000000001,41.0046,NA,NA,NA,1,0.825,0,0,0,0,NA,NA,0,0,NA,NA,23792.61914,High Income Countries
Czechia,CZE,2004,2004,UM,76.81304254599566,NA,NA,NA,NA,9.374375298719224,16.13761402217129,27.5,3,9,0.897,0.823,0.625,0.807,0.814,0.951,1.707,1.469,1.323,1.771,0.948,0.977,10197101,30,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.339,66.56649999999999,85.50207142857143,96.31133333333332,64.52275,83.5454,70.3605,77.71428571428571,55.79814285714286,98.75,93.1045,48.76714285714286,69.998,NA,84.917,80.08645454545454,53.72560000000001,NA,NA,NA,1,0.897,0,0,0,0,NA,NA,0,0,NA,NA,11782.55467,Upper-Middle Income Countries
Germany,DEU,2004,2004,H,78.43036110898906,NA,NA,NA,NA,10.45064710872976,18.228505922794135,30.2,3,9,0.897,0.858,0.651,0.867,0.83,0.981,2.015,1.758,2.045,1.861,0.967,0.985,82516260,40,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.7385,74.724125,90.35185714285716,96.565,75.325,80.5652,70.328,78.45485714285714,77.11728571428571,92.447,94.8165,43.98457142857144,64.14,62.89433333333333,75.9838,84.3539090909091,71.52619999999999,NA,NA,NA,1,0.897,0,0,0,0,NA,NA,0,0,NA,NA,34566.73591,High Income Countries
Djibouti,DJI,2004,2004,LM,45.84737067442362,NA,NA,NA,NA,6.692408321214838,13.556220264004576,NA,1,3,0.265,0.122,0.121,0.151,0.169,0.251,-0.199,0.148,-0.81,-0.095,NA,0.296,771599,20,NA,NA,NA,NA,Lower middle income,Middle East & North Africa,1,32.4545,38.04271428571428,32.55915384615385,0,7.57275,54.6792,30.7305,52.71100000000001,13.7985,52.551,75.94,93.60250000000002,97.09833333333334,56.88275,31.299,48.8274,60.65600000000001,NA,NA,NA,0,0.265,0,0,0,0,NA,NA,0,0,NA,NA,806.2616529,Lower-Middle Income Countries
Denmark,DNK,2004,2004,H,81.05078446651387,NA,NA,NA,NA,10.74989323147637,15.502746753542173,24.9,3,9,0.909,0.882,0.718,0.864,0.87,0.95,1.994,1.465,2.298,2.065,0.939,0.988,5404523,40,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.203,77.24,90.5932142857143,96.88366666666668,83.9745,90.8202,74.70525,84.04157142857143,78.66057142857143,100,96.71125,30.416,56.78900000000001,74.09716666666667,75.6468,93.10854545454544,74.9726,NA,NA,NA,1,0.91,0,0,0,0,NA,NA,0,0,NA,NA,46625.0501,High Income Countries
Dominican Republic,DOM,2004,2004,LM,63.39387200789407,NA,71.11111111,NA,NA,7.804533520794235,16.00989154055892,52.1,2,6,0.647,0.354,0.418,0.481,0.334,0.67,0.89,1.031,-0.633,1.27,0.871,0.843,8974444,40,NA,NA,NA,NA,Upper middle income,Latin America & Caribbean,1,66.523,64.970875,61.461,73.24675,60.91875,67.8302,65.97125000000001,73.8682857142857,21.51533333333333,15.352,70.28600000000002,83.57542857142859,94.225,80.80733333333333,72.12280000000001,51.41781818181818,53.604,60,93.33333,60,1,0.644,0,0,0,0,NA,NA,0,0,NA,NA,2451.691616,Lower-Middle Income Countries
Algeria,DZA,2004,2004,LM,66.77158850904,NA,54.44444444,NA,NA,7.9434255847004,17.302645637651253,NA,1,3,0.338,0.164,0.152,0.254,0.265,0.3,0.071,0.286,-0.573,0.238,0.316,0.663,32692153,20,NA,NA,NA,NA,Upper middle income,Middle East & North Africa,1,86.8935,52.933125,70.01842857142859,80.94924999999999,32.47425,55.9036,61.72174999999999,64.39342857142857,18.85571428571429,97.015,67.613,88.86371428571428,89.37650000000001,69.84266666666666,67.9016,67.86872727272727,62.49275,30,73.33333,60,0,0.333,0,0,0,0,NA,NA,0,0,NA,NA,2816.99385,Lower-Middle Income Countries
Ecuador,ECU,2004,2004,LM,61.42990833333334,NA,82.22222222,NA,NA,7.857948432704928,16.425314874294067,53.9,2,6,0.702,0.463,0.485,0.397,0.412,0.803,1.03,1.159,0.367,1.014,0.85,0.795,13596390,40,NA,NA,NA,NA,Upper middle income,Latin America & Caribbean,1,54.649,51.571375,71.29364285714286,82.569,59.332,68.4514,65.97800000000001,68.57685714285715,26.085,12.817,63.89550000000001,85.51400000000001,92.423,75.92266666666667,53.93060000000001,46.7264,64.57300000000001,80,86.66667,80,1,0.7,0,0,0,0,NA,NA,0,0,NA,NA,2586.209147,Lower-Middle Income Countries
Egypt,EGY,2004,2004,LM,64.456686942959,NA,77.77777778,NA,NA,6.898972512251629,18.121898262627816,31.8,0,1,0.211,0.156,0.076,0.148,0.091,0.06,-0.359,-0.257,0.034,-0.281,0.266,0.366,74172073,20,NA,NA,NA,NA,Lower middle income,Middle East & North Africa,1,79.0315,67.204875,64.475,55.25774999999999,32.823,63.37740000000001,66.5035,63.05142857142858,34.884,82.5995,59.45175,87.61757142857144,95.19066666666669,46.2755,68.3634,65.29363636363637,64.3632,40,93.33333,100,0,0.21,0,0,0,0,NA,NA,0,0,NA,NA,991.2556891,Lower-Middle Income Countries
Spain,ESP,2004,2004,H,74.66022029881884,NA,NA,NA,NA,10.123627669252732,17.574892626662635,33.3,3,9,0.874,0.805,0.609,0.787,0.799,0.953,1.748,1.552,1.406,1.78,0.953,0.957,42921895,40,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.435,65.961375,89.64415384615384,92.94425,69.25175,82.9308,71.84025,80.99557142857142,63.40028571428572,84.331,96.693,56.599,73.38366666666667,44.91433333333333,61.23260000000001,79.3819090909091,56.2848,NA,NA,NA,1,0.873,0,0,0,0,NA,NA,0,0,NA,NA,24925.02678,High Income Countries
