"country_name","country_code","year","year_fct","income_level","sdg_overall","spi_comp","sci_overall","di_score","log_gdppc","population","gini","orig_country_text_id_ds1","regime_type_4","regime_type_10","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","orig_country_ds2","orig_iso3c_ds2","p1_use","p2_services","p3_products","p4_sources","p5_infra","income_spi","region_spi","weights_spi","orig_country_name_ds2","orig_country_name_ds3","orig_country_code_ds3","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17","orig_country_name_ds4","orig_country_code_ds4","IQ.SCI.OVRL","IQ.SCI.MTHD","IQ.SCI.PRDC","IQ.SCI.SRCE","sci_method","sci_periodicity","sci_source","orig_country_name_ds5","orig_country_text_id_ds5","orig_country_id_ds5","regime_type_2","elect_dem_ert","regch_event","regch_genuine","dem_ep","dem_ep_pre_yr","dem_ep_start_yr","dem_ep_end_yr","aut_ep","aut_ep_pre_yr","aut_ep_start_yr","aut_ep_end_yr","orig_country_name_ds6","orig_country_code_ds6","gdp_pc","orig_country_code_ds7","income_level_lab","orig_country_name_ds7","orig_country_name_ds8","orig_country_code_ds8","orig_Entity_ds9","orig_Code_ds9","orig_country_name_ds9"
"Afghanistan","AFG",2014,2014,"L",40.4799064935065,NA,54.44444444,2.77,6.43783955275282,33370804,NA,"AFG",1,3,0.381,0.228,0.159,0.333,0.236,0.227,0.433,0.265,0.536,0.695,0.552,0.721,"Afghanistan","AFG",30,NA,49.3125,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",31.503,38.9822857142857,31.461,1.633,18.6135,34.6314,31.52375,44.5222857142857,7.39271428571428,NA,34.49075,94.5618571428572,98.603,NA,57.2632,47.3884545454546,34.6284,"Afghanistan","AFG","54.44444444","50","73.33333333","40",50,73.33333333,40,"Afghanistan","AFG",36,0,0.355,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",625.0549418,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2015,2015,"L",41.5124087301587,NA,51.1111,2.77,6.3378335954699,34413603,NA,"AFG",1,3,0.375,0.225,0.161,0.339,0.231,0.227,0.427,0.267,0.526,0.665,0.542,0.709,"Afghanistan","AFG",50,NA,53.56875,25.4416666666667,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",30.885,39.1714285714286,33.5193571428572,17.4635,19.13175,36.6188,26.58375,44.9268571428572,7.94171428571429,NA,34.63025,94.8438571428571,98.6766666666667,NA,57.2632,46.833,34.197,"Afghanistan","AFG","51.1111","40","73.3333","40",40,73.3333,40,"Afghanistan","AFG",36,0,0.353,0,0,0,0,NA,NA,0,1,2016,2024,"Afghanistan","AFG",565.5697304,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2016,2016,"L",44.3111464935065,39.39625,51.1111,2.55,6.25782507663006,35383028,NA,"AFG",1,3,0.352,0.208,0.151,0.298,0.215,0.202,0.352,0.223,0.547,0.558,0.549,0.65,"Afghanistan","AFG",70,6.73333333333333,54.80625,25.4416666666667,40,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",30.5965,37.9625714285714,34.5322142857143,38.513,19.68175,39.9494,34.974,44.3165714285714,9.603,NA,34.15325,95.2942857142857,98.801,NA,60.7642,47.8064545454545,37.719,"Afghanistan","AFG","51.1111","40","73.3333","40",40,73.3333,40,"Afghanistan","AFG",36,0,0.34,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",522.0822156,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2017,2017,"L",45.0252526984127,44.75125,51.1111,2.55,6.26429266420951,36296111,NA,"AFG",1,3,0.357,0.209,0.145,0.262,0.211,0.187,0.333,0.19,0.421,0.61,0.549,0.713,"Afghanistan","AFG",70,24.0333333333333,70.43125,19.2916666666667,40,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",30.4905,36.4868571428571,35.3785714285714,39.8375,20.26575,41.3612,35.21225,45.7212857142857,10.3438571428571,NA,34.355,94.9682857142857,98.8573333333333,NA,65.2614,47.666,39.173,"Afghanistan","AFG","51.1111","40","73.3333","40",40,73.3333,40,"Afghanistan","AFG",36,0,0.339,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",525.4697709,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2018,2018,"L",45.5087805916306,52.0183333333333,50,2.97,6.19713069734701,37171922,NA,"AFG",1,3,0.354,0.199,0.168,0.3,0.206,0.184,0.348,0.223,0.248,0.64,0.549,0.708,"Afghanistan","AFG",70,59.9,68.75,21.4416666666667,40,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",29.9595,40.6278571428571,36.9478571428571,41.0835,21.1835,42.2046,33.934,46.5628571428571,11.1022857142857,NA,33.17775,95.0475714285714,98.6106666666667,NA,65.2614,45.9373636363636,40.991,"Afghanistan","AFG","50","40","70","40",40,70,40,"Afghanistan","AFG",36,0,0.336,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",491.3372214,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2019,2019,"L",46.171753968254,51.9295833333333,50,2.85,6.20778991595301,38041757,NA,"AFG",1,3,0.356,0.184,0.137,0.3,0.204,0.18,0.29,0.218,-0.095,0.626,0.549,0.693,"Afghanistan","AFG",70,59.9,68.30625,21.4416666666667,40,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",30.3085,39.651,36.4287857142857,42.9035,23.89,44.7332,35.741,46.4605714285714,11.2837142857143,NA,35.3,95.0735714285714,98.5456666666667,NA,65.2212,46.135,40.9006,"Afghanistan","AFG","50","40","70","40",40,70,40,"Afghanistan","AFG",36,0,0.338,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",496.6025043,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2020,2020,"L",47.5132427561327,55.56,57.7778,2.85,6.23595279768262,38928341,NA,"AFG",1,3,0.361,0.191,0.142,0.291,0.202,0.197,0.294,0.215,-0.072,0.661,0.549,0.724,"Afghanistan","AFG",80,59.4333333333333,72.15,21.2166666666667,45,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",28.626,38.3937142857143,37.2816428571429,42.9035,26.453,48.9904,35.94125,46.8605714285714,11.2271428571429,NA,35.78,95.3185714285714,98.8546666666667,NA,77.5108,45.4991818181818,43.0582,"Afghanistan","AFG","57.7778","50","83.3334","40",50,83.3334,40,"Afghanistan","AFG",36,0,0.335,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",510.7870634,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2021,2021,"L",46.2430441702742,59.1775,NA,0.32,5.87632362016262,39835428,NA,"AFG",1,3,0.157,0.034,0.043,0.042,0.074,0.077,-0.545,0.002,-0.805,-0.613,0.293,0.206,"Afghanistan","AFG",80,59.4333333333333,78.6375,22.8166666666667,55,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",19.606,37.7247142857143,34.9837857142857,35.23,28.87875,49.8324,36.59,45.1402857142857,11.1971428571429,NA,34.3705,95.4607142857143,98.8963333333333,NA,77.5108,44.7376363636364,43.4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","AFG",36,0,0.144,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",356.4962141,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2022,2022,"L",45.4595802886003,59.3283333333333,NA,0.32,5.87846703479715,41128771,NA,"AFG",0,0,0.079,0.028,0.015,0.036,0.031,0,-1.276,-1.248,-0.801,-1.233,0.107,0.087,"Afghanistan","AFG",80,60,74.15,27.4916666666667,55,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",16.794,37.5927142857143,35.8687142857143,35.23,17.53875,51.0218,36.59,42.8585714285714,16.6058571428571,NA,34.50975,95.5035714285714,98.9146666666667,NA,77.4748,41.9039090909091,43.4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","AFG",36,0,0.076,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",357.2611528,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2023,2023,"L",48.236203692386,57.0895833333333,NA,0.26,6.02998168853387,NA,NA,"AFG",0,0,0.075,0.03,0.012,0.029,0.033,0,-1.419,-1.309,-0.946,-1.383,0.087,0.064,"Afghanistan","AFG",66.6,60,76.35625,27.4916666666667,55,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",5.1265,37.5927142857143,36.3981428571429,35.23,17.53875,51.1754,36.59,41.597,16.1234285714286,NA,34.50975,95.5407142857143,98.9146666666667,NA,77.4748,41.4229090909091,43.4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","AFG",36,0,0.073,0,0,0,0,NA,NA,1,0,2016,2024,"Afghanistan","AFG",415.7074171,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Angola","AGO",2004,2004,"LM",47.0961107333843,NA,41.11111111,NA,7.14378414807638,18758138,NA,"AGO",0,0,0.176,0.092,0.057,0.09,0.07,0,-0.3,-0.745,-0.883,-0.145,0.395,0.406,"Angola","AGO",20,NA,NA,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",46.247,46.44825,23.3435,41.6275,35.6755,46.2486,15.56175,58.9875714285714,12.5041428571429,15.493,48.60925,94.021,92.6106666666667,67.2613333333333,62.5716,37.7038181818182,55.7194,"Angola","AGO","41.11111111","30","63.33333","30",30,63.33333,30,"Angola","AGO",104,0,0.167,0,0,0,0,NA,NA,0,0,NA,NA,"Angola","AGO",1266.210864,"AGO","Lower-Middle Income Countries","Angola",NA,NA,NA,NA,NA
"Angola","AGO",2005,2005,"LM",46.9905820919277,NA,45.55555556,NA,7.55823940777383,19433604,NA,"AGO",0,0,0.178,0.094,0.057,0.09,0.07,0,-0.261,-0.752,-0.894,-0.079,0.395,0.423,"Angola","AGO",20,NA,59.50625,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",47.018,46.994375,23.5871428571429,41.6275,35.918,46.497,16.6135,58.9711428571429,12.5161428571429,15.493,48.17675,93.6538571428571,92.3843333333333,66.5203333333333,62.5716,37.7038181818182,52.5934,"Angola","AGO","45.55555556","40","66.66667","30",40,66.66667,30,"Angola","AGO",104,0,0.169,0,0,0,0,NA,NA,0,0,NA,NA,"Angola","AGO",1916.468422,"AGO","Lower-Middle Income Countries","Angola",NA,NA,NA,NA,NA
"Angola","AGO",2006,2006,"LM",48.1340394448688,NA,45.55555556,2.41,7.86980375712861,20149905,NA,"AGO",0,0,0.178,0.094,0.057,0.09,0.07,0,-0.258,-0.752,-0.887,-0.083,0.395,0.423,"Angola","AGO",20,NA,59.74375,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",53.703,46.3425,24.1142857142857,41.6275,36.3585,47.053,17.54575,59.0715714285714,12.5161428571429,15.493,48.73575,93.6562857142857,92.464,65.9171666666667,62.5716,37.7038181818182,63.4048,"Angola","AGO","45.55555556","40","66.66667","30",40,66.66667,30,"Angola","AGO",104,0,0.169,0,0,0,0,NA,NA,0,0,NA,NA,"Angola","AGO",2617.05196,"AGO","Lower-Middle Income Countries","Angola","Angola","AGO",NA,NA,NA
"Angola","AGO",2007,2007,"LM",48.4699239686784,NA,42.22222222,NA,8.05231113808161,20905360,NA,"AGO",0,0,0.178,0.094,0.056,0.09,0.07,0,-0.266,-0.743,-0.857,-0.081,0.393,0.423,"Angola","AGO",20,NA,62.75,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",53.6485,46.318125,26.9145714285714,41.6275,36.8035,47.5762,20.683,58.9404285714286,12.5161428571429,15.493,47.96225,93.2655714285714,91.8706666666667,66.3658333333333,62.5216,37.7038181818182,63.778,"Angola","AGO","42.22222222","40","66.66667","20",40,66.66667,20,"Angola","AGO",104,0,0.169,0,0,0,1,2008,2011,0,0,NA,NA,"Angola","AGO",3141.04598,"AGO","Lower-Middle Income Countries","Angola",NA,NA,NA,NA,NA
"Angola","AGO",2008,2008,"LM",50.2050477782022,NA,42.22222222,3.35,8.31948999745184,21695636,0.42715514,"AGO",0,0,0.193,0.099,0.059,0.093,0.073,0.068,-0.176,0.165,-0.869,-0.083,0.396,0.426,"Angola","AGO",20,NA,65.2625,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",57.64,46.495625,26.3577857142857,41.6275,37.2505,47.1564,24.6605,58.6611428571429,12.5161428571429,39.4355,46.32225,92.3917142857143,90.314,68.0933333333333,62.5216,37.7038181818182,64.338,"Angola","AGO","42.22222222","50","66.66667","10",50,66.66667,10,"Angola","AGO",104,0,0.182,0,0,1,0,2008,2011,0,0,NA,NA,"Angola","AGO",4103.0669,"AGO","Lower-Middle Income Countries","Angola","Angola","AGO","Angola","AGO","Angola"
"Angola","AGO",2009,2009,"LM",50.3658663356252,NA,45.55555556,NA,8.05090918618391,22514275,NA,"AGO",0,0,0.223,0.106,0.065,0.096,0.081,0.219,-0.165,0.174,-0.864,-0.056,0.396,0.437,"Angola","AGO",20,NA,63.95,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",53.653,50.4155,27.1258571428571,41.13325,49.122,47.8972,25.10825,58.4965714285714,12.5307142857143,39.4355,47.4075,92.249,89.66,67.7891666666667,62.5216,37.7038181818182,53.9708,"Angola","AGO","45.55555556","40","66.66667","30",40,66.66667,30,"Angola","AGO",104,0,0.211,0,0,1,0,2008,2011,0,0,NA,NA,"Angola","AGO",3136.64547,"AGO","Lower-Middle Income Countries","Angola",NA,NA,NA,NA,NA
"Angola","AGO",2010,2010,"LM",51.1846956773619,NA,45.55555556,3.32,8.18795077748872,23356247,NA,"AGO",1,3,0.225,0.106,0.067,0.096,0.081,0.219,-0.147,0.216,-1.005,-0.049,0.397,0.445,"Angola","AGO",40,NA,64.375,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",53.9695,53.385375,30.6129285714286,41.47375,50.24075,48.5072,25.7965,58.6371428571429,8.95442857142857,39.4355,44.652,92.928,90.742,68.6853333333333,62.5216,37.7038181818182,61.894,"Angola","AGO","45.55555556","40","66.66667","30",40,66.66667,30,"Angola","AGO",104,0,0.214,0,0,1,0,2008,2011,0,0,NA,NA,"Angola","AGO",3597.342932,"AGO","Lower-Middle Income Countries","Angola","Angola","AGO",NA,NA,NA
"Angola","AGO",2011,2011,"UM",51.850939763178,NA,47.77777778,3.32,8.43726444014942,24220660,NA,"AGO",1,3,0.311,0.132,0.088,0.121,0.105,0.213,-0.144,0.219,-1.007,-0.05,0.397,0.445,"Angola","AGO",40,NA,69.23125,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",53.1085,55.8695,31.5764285714286,42.37875,50.04125,48.8984,26.18975,58.3668571428571,9.273,39.4355,46.233,92.5322857142857,90.421,67.3545,63.3874,41.3564545454545,65.0434,"Angola","AGO","47.77777778","40","73.33333","30",40,73.33333,30,"Angola","AGO",104,0,0.296,0,0,1,0,2008,2011,0,0,NA,NA,"Angola","AGO",4615.910598,"AGO","Upper-Middle Income Countries","Angola","Angola","AGO",NA,NA,NA
"Angola","AGO",2012,2012,"UM",52.1206834733894,NA,50,3.35,8.53425233350196,25107925,NA,"AGO",1,3,0.308,0.131,0.087,0.12,0.104,0.204,-0.181,0.172,-0.963,-0.059,0.402,0.439,"Angola","AGO",40,NA,68.15,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",51.9175,53.81475,32.1750714285714,42.37875,50.31375,49.7524,30.17,58.5001428571429,15.6,39.4355,45.15025,92.5675714285714,90.17,67.3623333333333,63.3874,41.24,62.1162,"Angola","AGO","50","50","80","20",50,80,20,"Angola","AGO",104,0,0.294,0,0,0,0,NA,NA,0,0,NA,NA,"Angola","AGO",5086.027401,"AGO","Upper-Middle Income Countries","Angola","Angola","AGO",NA,NA,NA
"Angola","AGO",2013,2013,"UM",52.3070045581869,NA,47.77777778,3.35,8.52867657980329,26015786,NA,"AGO",1,3,0.309,0.134,0.074,0.124,0.11,0.202,-0.172,0.171,-0.862,-0.063,0.402,0.453,"Angola","AGO",40,NA,65.15,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",50.384,56.45975,32.0551428571428,42.37875,48.68825,50.1926,31.673,58.502,16.8562857142857,39.4355,45.30625,92.4081428571428,90.4476666666666,66.6766666666667,63.3874,41.3602727272727,63.0074,"Angola","AGO","47.77777778","60","83.33333333","0",60,83.33333333,0,"Angola","AGO",104,0,0.292,0,0,0,0,NA,NA,0,0,NA,NA,"Angola","AGO",5057.747878,"AGO","Upper-Middle Income Countries","Angola","Angola","AGO",NA,NA,NA
"Angola","AGO",2014,2014,"UM",51.8765730328495,NA,48.88888889,3.35,8.5183924202538,26941773,NA,"AGO",1,3,0.309,0.134,0.074,0.124,0.11,0.202,-0.17,0.17,-0.87,-0.067,0.402,0.453,"Angola","AGO",40,NA,66.4125,NA,NA,"Lower middle income","Sub-Saharan Africa",1,"Angola","Angola","AGO",50.1575,54.5375,32.5730714285714,42.37875,50.54475,50.785,32.5355,56.9531428571429,16.1347142857143,39.4355,45.06,92.1812857142857,90.7783333333334,65.6681666666667,63.3874,40.7577272727273,58.0334,"Angola","AGO","48.88888889","60","76.66666667","10",60,76.66666667,10,"Angola","AGO",104,0,0.292,0,0,0,0,NA,NA,0,0,NA,NA,"Angola","AGO",5005.999741,"AGO","Upper-Middle Income Countries","Angola","Angola","AGO",NA,NA,NA
